id,titulo,marca,categoria,precio_actual,precio_original,descuento_pct,vendidos,stock_disponible,tipo_logistica,envio_gratis,medalla_vendedor,cuotas_sin_interes,cantidad_cuotas,condicion,gama_precio,facturacion_estimada_ars,es_envio_full,es_mercadolider
MLA1074928333,Celular Xiaomi Redmi Note 13 Pro 128GB,Xiaomi,Celulares y Smartphones,393366,393366,0,273,15,Envío Full (Fulfillment),Sí,MercadoLíder Gold,No,1,new,Gama Media ($300k - $700k),107388918,1,1
MLA1126150207,Celular Motorola Moto G84 5G 128GB,Motorola,Celulares y Smartphones,258574,258574,0,1692,2,Envío Full (Fulfillment),Sí,Vendedor Estándar,No,1,new,Gama Entrada (< $300k),437507208,1,0
MLA1697338256,Celular Xiaomi Redmi Note 13 Pro 128GB,Xiaomi,Celulares y Smartphones,286759,318621,10,1220,20,Envío Full (Fulfillment),Sí,Vendedor Estándar,No,1,new,Gama Entrada (< $300k),349845980,1,0
MLA1337450097,Celular Motorola Moto Edge 40 Neo 128GB,Motorola,Celulares y Smartphones,1392596,1638348,15,1527,26,Despacho en Correo,Sí,MercadoLíder Silver,Sí,6,new,Gama Alta (> $700k),2126494092,0,1
MLA1123342335,Celular Xiaomi Xiaomi 13T 128GB,Xiaomi,Celulares y Smartphones,452412,452412,0,1004,12,Envío Full (Fulfillment),Sí,MercadoLíder Platinum,No,1,new,Gama Media ($300k - $700k),454221648,1,1
MLA1672302157,Celular Motorola Moto G54 128GB,Motorola,Celulares y Smartphones,400016,400016,0,1747,16,Despacho en Correo,Sí,MercadoLíder Gold,Sí,6,new,Gama Media ($300k - $700k),698827952,0,1
MLA1295025737,Celular Motorola Moto G84 5G 128GB,Motorola,Celulares y Smartphones,231622,231622,0,850,8,Envío Full (Fulfillment),Sí,MercadoLíder Silver,No,1,new,Gama Entrada (< $300k),196878700,1,1
MLA1515633630,Celular Motorola Moto Edge 30 Ultra 128GB,Motorola,Celulares y Smartphones,1282853,1282853,0,1371,10,Despacho en Correo,Sí,Vendedor Estándar,No,1,new,Gama Alta (> $700k),1758791463,0,0
MLA1224013882,Celular Xiaomi Redmi Note 13 Pro 128GB,Xiaomi,Celulares y Smartphones,500440,500440,0,1097,18,Colecta / Depósito,Sí,MercadoLíder Gold,Sí,6,new,Gama Media ($300k - $700k),548982680,0,1
MLA1361168184,Celular Apple iPhone 12 128GB 128GB,Apple,Celulares y Smartphones,1479238,1479238,0,655,39,Colecta / Depósito,Sí,MercadoLíder Platinum,Sí,6,new,Gama Alta (> $700k),968900890,0,1
MLA1095318275,Celular Xiaomi Poco X6 Pro 128GB,Xiaomi,Celulares y Smartphones,282174,282174,0,1388,6,Colecta / Depósito,Sí,MercadoLíder Platinum,Sí,6,new,Gama Entrada (< $300k),391657512,0,1
MLA1617879435,Celular Motorola Moto G54 128GB,Motorola,Celulares y Smartphones,252876,252876,0,204,38,Despacho en Correo,Sí,MercadoLíder Platinum,Sí,6,new,Gama Entrada (< $300k),51586704,0,1
MLA1398265237,Celular Samsung Galaxy A14 128GB,Samsung,Celulares y Smartphones,274373,365830,25,1522,5,Colecta / Depósito,Sí,MercadoLíder Platinum,Sí,6,new,Gama Entrada (< $300k),417595706,0,1
MLA1776900508,Celular Motorola Moto Edge 40 Neo 128GB,Motorola,Celulares y Smartphones,1054706,1054706,0,374,24,Envío Full (Fulfillment),Sí,MercadoLíder Gold,Sí,6,new,Gama Alta (> $700k),394460044,1,1
MLA1620064029,Celular Motorola Moto Edge 40 Neo 128GB,Motorola,Celulares y Smartphones,845424,845424,0,1800,1,Despacho en Correo,Sí,MercadoLíder Silver,Sí,6,new,Gama Alta (> $700k),1521763200,0,1
MLA1693257666,Celular Motorola Moto E13 128GB,Motorola,Celulares y Smartphones,500057,555618,10,365,7,Envío Full (Fulfillment),Sí,MercadoLíder Gold,No,1,new,Gama Media ($300k - $700k),182520805,1,1
MLA1289123298,Celular Apple iPhone 15 Pro Max 128GB,Apple,Celulares y Smartphones,1369212,1610837,15,1467,29,Despacho en Correo,Sí,Vendedor Estándar,Sí,6,new,Gama Alta (> $700k),2008634004,0,0
MLA1893457374,Celular Motorola Moto E13 128GB,Motorola,Celulares y Smartphones,459041,459041,0,1391,28,Envío Full (Fulfillment),Sí,MercadoLíder Platinum,Sí,6,new,Gama Media ($300k - $700k),638526031,1,1
MLA1511980200,Celular Apple iPhone 15 Pro Max 128GB,Apple,Celulares y Smartphones,2665045,3135347,15,1349,13,Colecta / Depósito,Sí,MercadoLíder Platinum,Sí,6,new,Gama Alta (> $700k),3595145705,0,1
MLA1771966860,Celular Motorola Moto E13 128GB,Motorola,Celulares y Smartphones,334588,334588,0,343,21,Colecta / Depósito,Sí,MercadoLíder Platinum,No,1,new,Gama Media ($300k - $700k),114763684,0,1
MLA1431190495,Celular Xiaomi Xiaomi 13T 128GB,Xiaomi,Celulares y Smartphones,329742,329742,0,1413,25,Colecta / Depósito,Sí,Vendedor Estándar,Sí,6,new,Gama Media ($300k - $700k),465925446,0,0
MLA1349550188,Celular Apple iPhone 15 Pro Max 128GB,Apple,Celulares y Smartphones,2117071,2117071,0,1156,24,Colecta / Depósito,Sí,Vendedor Estándar,Sí,6,new,Gama Alta (> $700k),2447334076,0,0
