id,titulo,marca,categoria,precio_actual,precio_original,descuento_pct,vendidos,stock_disponible,tipo_logistica,envio_gratis,medalla_vendedor,cuotas_sin_interes,cantidad_cuotas,condicion
MLA1074928333,Celular Xiaomi Redmi Note 13 Pro 128GB,Xiaomi,Celulares y Smartphones,393366,393366,0,273,15,fulfillment,Sí,gold,No,1,new
MLA1126150207,Celular Motorola Moto G84 5G 128GB,Motorola,Celulares y Smartphones,258574,258574,0,1692,2,fulfillment,Sí,Vendedor Estándar,No,1,new
MLA1697338256,Celular Xiaomi Redmi Note 13 Pro 128GB,Xiaomi,Celulares y Smartphones,286759,318621,10,1220,20,fulfillment,Sí,Vendedor Estándar,No,1,new
MLA1337450097,Celular Motorola Moto Edge 40 Neo 128GB,Motorola,Celulares y Smartphones,1392596,1638348,15,1527,26,drop_off,Sí,silver,Sí,6,new
MLA1123342335,Celular Xiaomi Xiaomi 13T 128GB,Xiaomi,Celulares y Smartphones,452412,452412,0,1004,12,fulfillment,Sí,platinum,No,1,new
MLA1672302157,Celular Motorola Moto G54 128GB,Motorola,Celulares y Smartphones,400016,400016,0,1747,16,drop_off,Sí,gold,Sí,6,new
MLA1295025737,Celular Motorola Moto G84 5G 128GB,Motorola,Celulares y Smartphones,231622,231622,0,850,8,fulfillment,Sí,silver,No,1,new
MLA1515633630,Celular Motorola Moto Edge 30 Ultra 128GB,Motorola,Celulares y Smartphones,1282853,1282853,0,1371,10,drop_off,Sí,Vendedor Estándar,No,1,new
MLA1224013882,Celular Xiaomi Redmi Note 13 Pro 128GB,Xiaomi,Celulares y Smartphones,500440,500440,0,1097,18,cross_docking,Sí,gold,Sí,6,new
MLA1361168184,Celular Apple iPhone 12 128GB 128GB,Apple,Celulares y Smartphones,1479238,1479238,0,655,39,cross_docking,Sí,platinum,Sí,6,new
MLA1095318275,Celular Xiaomi Poco X6 Pro 128GB,Xiaomi,Celulares y Smartphones,282174,282174,0,1388,6,cross_docking,Sí,platinum,Sí,6,new
MLA1617879435,Celular Motorola Moto G54 128GB,Motorola,Celulares y Smartphones,252876,252876,0,204,38,drop_off,Sí,platinum,Sí,6,new
MLA1398265237,Celular Samsung Galaxy A14 128GB,Samsung,Celulares y Smartphones,274373,365830,25,1522,5,cross_docking,Sí,platinum,Sí,6,new
MLA1776900508,Celular Motorola Moto Edge 40 Neo 128GB,Motorola,Celulares y Smartphones,1054706,1054706,0,374,24,fulfillment,Sí,gold,Sí,6,new
MLA1620064029,Celular Motorola Moto Edge 40 Neo 128GB,Motorola,Celulares y Smartphones,845424,845424,0,1800,1,drop_off,Sí,silver,Sí,6,new
MLA1693257666,Celular Motorola Moto E13 128GB,Motorola,Celulares y Smartphones,500057,555618,10,365,7,fulfillment,Sí,gold,No,1,new
MLA1289123298,Celular Apple iPhone 15 Pro Max 128GB,Apple,Celulares y Smartphones,1369212,1610837,15,1467,29,drop_off,Sí,Vendedor Estándar,Sí,6,new
MLA1893457374,Celular Motorola Moto E13 128GB,Motorola,Celulares y Smartphones,459041,459041,0,1391,28,fulfillment,Sí,platinum,Sí,6,new
MLA1511980200,Celular Apple iPhone 15 Pro Max 128GB,Apple,Celulares y Smartphones,2665045,3135347,15,1349,13,cross_docking,Sí,platinum,Sí,6,new
MLA1771966860,Celular Motorola Moto E13 128GB,Motorola,Celulares y Smartphones,334588,334588,0,343,21,cross_docking,Sí,platinum,No,1,new
MLA1431190495,Celular Xiaomi Xiaomi 13T 128GB,Xiaomi,Celulares y Smartphones,329742,329742,0,1413,25,cross_docking,Sí,Vendedor Estándar,Sí,6,new
MLA1349550188,Celular Apple iPhone 15 Pro Max 128GB,Apple,Celulares y Smartphones,2117071,2117071,0,1156,24,cross_docking,Sí,Vendedor Estándar,Sí,6,new
MLA1411492314,Celular Xiaomi Redmi Note 13 Pro 128GB,Xiaomi,Celulares y Smartphones,194118,228374,15,767,2,fulfillment,Sí,Vendedor Estándar,No,1,new
MLA1176880721,Celular Motorola Moto G54 128GB,Motorola,Celulares y Smartphones,457457,457457,0,560,35,drop_off,Sí,platinum,Sí,6,new
MLA1545197087,Celular Samsung Galaxy S24 Pro 128GB,Samsung,Celulares y Smartphones,1436055,1436055,0,1754,26,drop_off,Sí,platinum,Sí,6,new
MLA1215476326,Celular Apple iPhone 11 64GB 128GB,Apple,Celulares y Smartphones,1219827,1524783,20,498,9,drop_off,Sí,platinum,Sí,6,new
MLA1408533416,Celular Apple iPhone 15 Pro Max 128GB,Apple,Celulares y Smartphones,971813,1295750,25,1109,13,fulfillment,Sí,platinum,Sí,6,new
MLA1104484761,Celular Motorola Moto Edge 30 Ultra 128GB,Motorola,Celulares y Smartphones,1446969,1702316,15,1030,19,fulfillment,Sí,gold,No,1,new
MLA1098215752,Celular Xiaomi Xiaomi 13T 128GB,Xiaomi,Celulares y Smartphones,274621,274621,0,520,20,drop_off,Sí,silver,Sí,6,new
MLA1881292822,Celular Samsung Galaxy A54 5G 128GB,Samsung,Celulares y Smartphones,410248,410248,0,793,40,fulfillment,Sí,gold,Sí,6,new
MLA1438521171,Celular Motorola Moto Edge 40 Neo 128GB,Motorola,Celulares y Smartphones,885051,885051,0,1732,32,cross_docking,Sí,silver,Sí,6,new
MLA1932461056,Celular Motorola Moto G84 5G 128GB,Motorola,Celulares y Smartphones,500093,500093,0,540,36,fulfillment,Sí,platinum,Sí,6,new
MLA1390459261,Celular Motorola Moto E13 128GB,Motorola,Celulares y Smartphones,397156,397156,0,1261,39,fulfillment,Sí,Vendedor Estándar,No,1,new
MLA1603692294,Celular Motorola Moto E13 128GB,Motorola,Celulares y Smartphones,237274,237274,0,930,14,fulfillment,Sí,Vendedor Estándar,No,1,new
MLA1075444871,Celular Apple iPhone 11 64GB 128GB,Apple,Celulares y Smartphones,1697837,1697837,0,1735,35,cross_docking,Sí,platinum,Sí,6,new
MLA1805871813,Celular Xiaomi Poco X6 Pro 128GB,Xiaomi,Celulares y Smartphones,345213,345213,0,863,28,fulfillment,Sí,platinum,Sí,6,new
MLA1284190340,Celular Apple iPhone 11 64GB 128GB,Apple,Celulares y Smartphones,2696584,2696584,0,1115,20,drop_off,Sí,platinum,Sí,6,new
MLA1275443231,Celular Motorola Moto Edge 40 Neo 128GB,Motorola,Celulares y Smartphones,1438735,1438735,0,119,33,cross_docking,Sí,gold,No,1,new
MLA1455586920,Celular Apple iPhone 13 128GB 128GB,Apple,Celulares y Smartphones,1807283,1807283,0,757,14,cross_docking,Sí,Vendedor Estándar,No,1,new
MLA1312084480,Celular Motorola Moto Edge 30 Ultra 128GB,Motorola,Celulares y Smartphones,864365,864365,0,1529,6,cross_docking,Sí,Vendedor Estándar,Sí,6,new
MLA1348303794,Celular Motorola Moto G54 128GB,Motorola,Celulares y Smartphones,297586,350101,15,1156,26,fulfillment,Sí,gold,No,1,new
MLA1336088122,Celular Motorola Moto G54 128GB,Motorola,Celulares y Smartphones,224129,249032,10,474,38,fulfillment,Sí,Vendedor Estándar,No,1,new
MLA1600113905,Celular Xiaomi Redmi Note 12 5G 128GB,Xiaomi,Celulares y Smartphones,191345,239181,20,856,30,cross_docking,Sí,Vendedor Estándar,No,1,new
MLA1330478854,Celular Motorola Moto G54 128GB,Motorola,Celulares y Smartphones,419600,493647,15,577,12,fulfillment,Sí,Vendedor Estándar,Sí,6,new
MLA1782112760,Celular Motorola Moto G54 128GB,Motorola,Celulares y Smartphones,517041,517041,0,402,31,cross_docking,Sí,platinum,Sí,6,new
MLA1577786272,Celular Motorola Moto Edge 30 Ultra 128GB,Motorola,Celulares y Smartphones,786040,786040,0,1267,28,fulfillment,Sí,silver,No,1,new
MLA1775730367,Celular Samsung Galaxy S23 Ultra 128GB,Samsung,Celulares y Smartphones,914795,914795,0,554,22,drop_off,Sí,Vendedor Estándar,No,1,new
MLA1499777715,Celular Motorola Moto E13 128GB,Motorola,Celulares y Smartphones,289093,289093,0,966,22,drop_off,Sí,platinum,Sí,6,new
MLA1950555444,Celular Motorola Moto Edge 30 Ultra 128GB,Motorola,Celulares y Smartphones,1100188,1100188,0,1451,17,fulfillment,Sí,gold,Sí,6,new
MLA1444067355,Celular Xiaomi Xiaomi 13T 128GB,Xiaomi,Celulares y Smartphones,253480,253480,0,1849,36,fulfillment,Sí,platinum,No,1,new
MLA1476840586,Celular Apple iPhone 15 Pro Max 128GB,Apple,Celulares y Smartphones,1557611,2076814,25,1282,33,fulfillment,Sí,platinum,Sí,6,new
MLA1720210132,Celular Samsung Galaxy Z Flip5 128GB,Samsung,Celulares y Smartphones,431930,431930,0,240,8,cross_docking,Sí,platinum,Sí,6,new
MLA1852428877,Celular Motorola Moto Edge 30 Ultra 128GB,Motorola,Celulares y Smartphones,917136,917136,0,1239,35,fulfillment,Sí,platinum,No,1,new
MLA1127467297,Celular Motorola Moto E13 128GB,Motorola,Celulares y Smartphones,405841,477460,15,141,3,drop_off,Sí,Vendedor Estándar,Sí,6,new
MLA1091614410,Celular Xiaomi Poco X6 Pro 128GB,Xiaomi,Celulares y Smartphones,375795,375795,0,928,9,fulfillment,Sí,platinum,No,1,new
MLA1529757818,Celular Apple iPhone 11 64GB 128GB,Apple,Celulares y Smartphones,1823455,2431273,25,161,27,fulfillment,Sí,platinum,No,1,new
MLA1699597452,Celular Samsung Galaxy S23 Ultra 128GB,Samsung,Celulares y Smartphones,1439245,1799056,20,972,4,cross_docking,Sí,silver,Sí,6,new
MLA1297897647,Celular Motorola Moto Edge 30 Ultra 128GB,Motorola,Celulares y Smartphones,1015229,1015229,0,1510,36,drop_off,Sí,gold,Sí,6,new
MLA1266501220,Celular Motorola Moto G54 128GB,Motorola,Celulares y Smartphones,423195,423195,0,1235,30,fulfillment,Sí,platinum,No,1,new
MLA1392113262,Celular Xiaomi Redmi Note 13 Pro 128GB,Xiaomi,Celulares y Smartphones,353689,353689,0,262,22,drop_off,Sí,Vendedor Estándar,Sí,6,new
MLA1997350860,Celular Samsung Galaxy Z Flip5 128GB,Samsung,Celulares y Smartphones,359713,359713,0,393,20,cross_docking,Sí,platinum,Sí,6,new
MLA1936286732,Celular Motorola Moto E13 128GB,Motorola,Celulares y Smartphones,320964,356626,10,983,39,drop_off,Sí,Vendedor Estándar,Sí,6,new
MLA1229871319,Celular Samsung Galaxy Z Flip5 128GB,Samsung,Celulares y Smartphones,188499,188499,0,991,28,cross_docking,Sí,platinum,No,1,new
MLA1497524203,Celular Samsung Galaxy A14 128GB,Samsung,Celulares y Smartphones,477431,477431,0,869,13,drop_off,Sí,Vendedor Estándar,Sí,6,new
MLA1836324721,Celular Motorola Moto G84 5G 128GB,Motorola,Celulares y Smartphones,323355,323355,0,145,21,drop_off,Sí,silver,No,1,new
MLA1075845616,Celular Apple iPhone 11 64GB 128GB,Apple,Celulares y Smartphones,1253043,1253043,0,1818,9,cross_docking,Sí,platinum,No,1,new
MLA1189414802,Celular Xiaomi Redmi Note 12 5G 128GB,Xiaomi,Celulares y Smartphones,342744,342744,0,1344,34,fulfillment,Sí,Vendedor Estándar,Sí,6,new
MLA1157104614,Celular Xiaomi Redmi Note 13 Pro 128GB,Xiaomi,Celulares y Smartphones,470244,470244,0,259,10,fulfillment,Sí,Vendedor Estándar,No,1,new
